title, description, features, location, date_listed,price
4.50cent 2100sqft 3Bedroom,"•4.50cent  •2100sqft, •3BHK (all bath attached)Good    Construction home. •Fully vasthu based architect designed house. •Living room&Dining Area  •Modular kitchen with work area. •2 Car Parking,  , water source  pipeline. •Bathroom fittings, electrical items are  Branded, cera. •Price 88 lakh negotiable. •Building is constructed with best quality materials. •CC tv facilities, solar facilities, rain water facilities available. •75%loan availability on eligible buyers.  House Located at Near Vazhayila sixth stone Jn. Land Area – 4.50 Cent  Build up Area – 2100 Sqft.  Bedrooms – 3Bedrooms Attached. East Facing, Car parking  Trivandrum Central Jn - 10 Km. Peroorkada - 2Km. Bus stop 300meter  75% Home Loan Available.",3 Bds - 3 Ba - 0 ft2,"Peroorkada, Thiruvananthapuram, Kerala, India",2022-07-24T16:46:10+0000,"₹ 88,00,000"
1350sqft new house at narikkal,1350sqft 3bhk 3.2 cent,3 Bds - 3 Ba - 1350 ft2,"Kazhakoottam, Thiruvananthapuram, Kerala, India",2022-07-24T16:46:10+0000,"₹ 52,00,000"
1 bhk Q block mohan garden luxurious flat near to metro.,Modular kitchen with chimney. Modular switches. Havells switches. 10 foot road. Crompton fans. Tiles work. Washable paint. Washable wallpaper. Washable texture. Ready to move. Covered parking. Loan facility 80 to 90% Registry facility,1 Bds - 1 Ba - 370 ft2,"Bhagwati Garden, Delhi, Delhi, India",2022-07-24T16:46:10+0000,"₹ 15,35,000"
"Kothamangalm, kuthukuzhi",700 m from NH 1 attached bathroom 50 cent land available Well water available Bank loan available For further details please call me Mr Roy kv,3 Bds - 2 Ba - 1500 ft2,"Nellimattom, Eramalloor, Kerala, India",2022-07-24T16:46:10+0000,"₹ 1,00,00,000"
New House For Sale in Vijayawada Eluru Road,"AP CRDA Gated Community Project   Open Lands, Houses Villas With Club House   Entrance Arch With Security Application   7 Feet Compound Wall With Solar Fencing   40 Feet Black Top Roads with Avenue Plantation   Underground Electricity n Drainage System  Rain Harvesting Pints and STP System   3 Phase Electricity System n Water Tank   Theme Parks n Avengers Parks for Kids   Landscaped Sitting Space with Sports Court  Swimming Pool, Supermarket, Function Hall   Full Vaastu Compliant Project   Bank Loan Facility  Available",2 Bds - 2 Ba - 1150 ft2,"Poranki, Vijayawada, Andhra Pradesh, India",2022-07-24T16:46:02+0000,"₹ 55,00,000"
Ready to move proper Gated colony,Project name - Yash Residency   22.5front / 45depth  Total 1000 sqrft land area  1500 covered area 3BHK with Modular kitchen n chimney with gated community  Total 44units  500mtr from shaheed path 1.5km from Medanta hospital 2km from LULU mall,2 Bds - 2 Ba - 1550 ft2,"Diptiganj, Lucknow, Uttar Pradesh, India",2022-07-24T16:43:46+0000,"₹ 68,00,000"
2400 sqft  House For Sale at Kakkanad Near Bharat Matha College,">> Kakkanad, Near Bharat Matha College >> 4 cent land >> 2400 sqft >> 4 BHK >> Well water and Corporation water >> Asking Price 1 CR  >> Negotiable >> Call 9387313_-888.",4 Bds - 4 Ba - 2400 ft2,"Kakkanad, Kochi, Kerala, India",2022-07-24T16:43:26+0000,"₹ 1,00,00,000"
PHASE 1 LIG,"A house for  sale at a prime location. Its only 0.5 kms away frm New Bustand. And 1 k.m away from new opened P.V.R cinema and only 5 minutes driving distance from a famous Urban estate Phase 2 and phase 1 Market.And also there are now three hospitals nearby like the Vardhman hospital in phase 2,upcoming Perk hospital opp. New bustand and Aggarwal hospital near phase 1 and many more.So if someone is interested , than contact me.",3 Bds - 2 Ba - 940 ft2,"Dealwal 75, Patiala, Punjab, India",2022-07-16T07:37:30+0000,"₹ 29,50,000"
"1830Sq ft High-Rise Luxury Apartment on Patiala Road, Zirakpur",> 3BHK+Servant High-rise apartment  > two sides open 3 BHK with 4 washroom > 1830 Sqft Luxury Apartments > Ultra Luxury Project with Mivan Construction. > Prime Location Zirakpur > Dual-core Project. > 2 Lifts plus 2 Emergency Staircases. > Club House with luxury features & Amenities. > Individual outdoor sports arena. > All Park Facing units. > 7.5-10 KVA Power backup. > Two covered car parking. > Fully Automated Home & Much more. > Flexi Payment Plan > Fully automated house > Complete kitchen appliances,3 Bds - 4 Ba - 1830 ft2,"Sector 35C, Chandigarh, Chandigarh, India",2022-07-21T10:42:58+0000,"₹ 1,07,97,000"
വാസ്തുശാസ്ത്ര പ്രകാരമുള്ള കെട്ടിട നിർമാണം -Zeekon Builders &Developers,കേരളത്തിൽ എവിടെയും വീടുകളുടെയും അപ്പാർട്മെന്റുകളുടെയും നിർമാണം കരാർ അടിസ്ഥാനത്തിൽ ഏറ്റെടുത്തു വളരെ കൃത്യതയോടെ ചെയ്തു കൊടുക്കുന്ന കേരളത്തിലെ മികച്ച സ്ഥാപനങ്ങളിൽ ഒന്ന് Zeekon Builders &Developers Pvt Ltd  നിലവിൽ 50 ഇൽ അധികം  പ്രൊജക്ടുകൾ മികച്ച രീതിയിൽ പൂർത്തീകരിച്ചു കഴിഞ്ഞിരിക്കുന്നു  പത്തനംതിട്ട ആസ്ഥാനമായി നടത്തി വരുന്ന ഈ സ്ഥാപനത്തിന്റെ ബ്രാഞ്ചുകൾ കേരളത്തിൽ ഉടനീളം ഉടനെ വ്യാപിപ്പിക്കുന്ന തയ്യാറെടുപ്പുകൾ നടത്തി വരുന്നു  മികച്ച എഞ്ചിനീർമാരുടെ മേൽനോട്ടത്തിൽ ജോലികൾ നടത്തുന്നു ഒരു സ്ഥിരം സൂപ്പർവൈസർമാർ സൈറ്റ് കളിൽ നിയോഗിക്കപെടുന്നു  മികച്ച ബ്രാണ്ടുകളുടെ സാധന സാമിഗ്രിഹികൾ ഉപയോഗിക്കുന്നു  പ്ലാൻ വരച്ചു permit എടുത്ത് നൽകുന്നു തുടങ്ങിയവ ഞങ്ങളുടെ സേവനത്തിൽ പെടുന്നു  കരാറിൽ പറയുന്ന സമയത്ത് തന്നെ പണികൾ തീർത്തു project കൈമാറുന്നു  Payment ഇന് ലളിതമായ തവണ വ്യവസ്ഥകൾ  പണികളുടെ എല്ലാ വിധ വിശദീകരണങ്ങളും കരാറിൽ ഉൾകൊള്ളിച്ചു agreement തയ്യാറാക്കുന്നു,4 Bds - 4 Ba - 2100 ft2,"Valanchuzhy, Pathanamthitta, Kerala, India",2022-07-21T10:44:22+0000,"₹ 38,00,000"
My house sell 3 badroom 1 car parking,Money problem sell my house,3 Bds - 3 Ba - 1210 ft2,"Vinayak Nagar, Agra Cantonment, Uttar Pradesh, India",2022-07-24T16:42:43+0000,"₹ 31,00,000"
RCC House for sale,RCC House for sale with big parking space,4+ Bds - 2 Ba - 3450 ft2,"Nongrah, Shillong, Meghalaya, India",2022-07-24T16:42:06+0000,"₹ 1,20,00,000"
2 BHK Flat Sale in Mohali,2BHK floor  1035sq.ft. (115 gaj) Features and Amenities:-  BANG ON PR-7 AIRPORT ROAD Gated society Grand entrance  35ft. Wide Internal roads  Vertical Garden  Modular kitchen  Wardrobes laminated wooden  East or west facing floors  False ceiling with profile lights  4 Tier Security  Acrylic Emulsion Paint  Market complete   10 Mints. Drive from Chandigarh  Allotted car Parking We are waiting your site visit in our project,2 Bds - 2 Ba - 1035 ft2,"Airport Road, Mohali, Punjab, India",2022-07-24T16:41:50+0000,"₹ 26,90,000"
1BHK Room for sale,I am selling 1BHK Flat in very good condition.,1 Bds - 1 Ba - 555 ft2,"Mharalgaon, Thane, Maharashtra, India",2022-07-24T16:41:27+0000,"₹ 14,50,000"
ONE ROOM KITCHEN (1RK),"In Mharal Gaon 3 KM From Shahad Railway station. Next to Kalyan Railway station, 10rs from Auto, from bike 10mini. In the Apartment, 2nd Floor, I have one R K Room(385) Semi furnished with Toilet bathroom facilities, Also Tiles And Troll in Kitchen, Water tank storage (450ltr),   Near by Market Shop Bank Atm School etc.  If you are interested than call me  for any quarry.  PRIZE NIGESHOBLE",,"Kalyan, Thane, Maharashtra, India",2022-07-24T16:41:17+0000,"₹ 15,50,000"
Need 1 BHK for buy,"Need 1 bhk house ready move , good condition",1 Bds - 1 Ba - 600 ft2,"Ayodhya Nagar, Bhopal, Madhya Pradesh, India",2022-07-24T16:41:10+0000,"₹ 15,00,000"
Dream house,Farmland  NATP lands,1 Bds - 1 Ba - 550 ft2,"Amravati Road, Nagpur, Maharashtra, India",2022-07-24T16:40:49+0000,"₹ 10,00,000"
Urgent wants to sell house with 2 floor n shop,Ready to move house with 1 shop at bhagakot area in banswara rajasthan,4 Bds - 2 Ba - 2400 ft2,"Bhagakot Colony, Banswara, Rajasthan, India",2022-07-24T16:40:35+0000,"₹ 28,00,000"
New House for aale,New build house for sale in konam Gnam nager VIP Garden,3 Bds - 3 Ba - 1200 ft2,"Konam, Nagercoil, Tamil Nadu, India",2022-07-24T16:40:15+0000,"₹ 6,70,000"
వధువు వారులు కావలెను,శ్రీ వరాహ లక్ష్మీ నృసింహ స్వామి క్షేత్రం.రాజమండ్రి,4+ Bds - 4+ Ba - 7822 ft2,"Municipal Colony, Rajahmundry, Andhra Pradesh, India",2022-07-24T16:39:12+0000,"₹ 10,000"
Fully Furnished house behind holiday in Hotel,3 Cent snd fully futnished house,3 Bds - 3 Ba - 1450 ft2,"Vytila, Kochi, Kerala, India",2022-07-24T16:37:58+0000,"₹ 85,00,000"
1.2 km distance from Guptipara station,Contact if you need a ready home at moderate budget,4 Bds - 2 Ba - 2040 ft2,"Badhagachhi, Mirdhanga, West Bengal, India",2022-07-24T16:37:39+0000,"₹ 9,50,000"
2 Bedroom Furnished Villa With Water Softener System RO System,"The property has 2 bedrooms, ground floor- kitchen, hall and toilet, 1st floor 2 bedrooms with one attached bathroom, the house comes with water softener and water purifier RO system newly installed, newly painted with Asian Paints Ultima weather proof coat, covered car parking, with newly installed kitchen hob, kitchen sink, partially renovated, new LG double door fridge and washing machine, remote control Havells geyser 25L, option to extend terrace as a room, gated Community with 24*7 security, the community has 2 schools, hospitals, club house, parks, super market.",2 Bds - 2 Ba - 742 ft2,"Perumbakkam, Chennai, Tamil Nadu, India",2022-07-24T16:37:37+0000,"₹ 56,00,000"
Fully Furnished 4 BHK builder floor house with one servant room,"Fully Furnished 4 BHK builder floor house with one servant room + Modular Kitchen with Auto clean Chimney + 3 Bathroom with modern fittings(Western, Shower, 3 - Geaser of 25 liters) + 1 Small Puja Room with marble partition + 1 Drawing Room + 1 Dinning with a bigger space + 2 Balcony(One in Front and the other at the back) Property is on the first floor - door opens to West Plot no.226 Main building facing to North East   P.S. No Parking  Reason for selling - Moving to USA for 3 years shortly...been there earlier as well  *Slightly negotiable",4 Bds - 3 Ba - 2153 ft2,"Indirapuram Shakti Khand 3, Ghaziabad, Uttar Pradesh, India",2022-07-24T16:36:11+0000,"₹ 1,45,00,000"
കുറഞ്ഞ വിലയിൽ വീട് 17/30/40/50 ലക്ഷം വിലവരുന്ന വീടുകൾ,നിങ്ങളുടെ വിലക്ക് വരുന്ന വീടുകൾ,2 Bds - 2 Ba - 1200 ft2,"Peruvayal, Kozhikode, Kerala, India",2022-07-24T16:35:37+0000,"₹ 17,00,000"
"Colony house for sale.5years old . Kannur, po aroli,kammadath motta",Colony house for sale.5years old house,2 Bds - 1 Ba - 0000 ft2,"Papanishree, Pappinisseri, Kerala, India",2022-07-24T16:35:34+0000,"₹ 22,00,000"
Chlooor  Kuttippuram,Kutippuram,2 Bds - 2 Ba - 206 ft2,"Nadavattam, Kattipparuthi, Kerala, India",2022-07-24T16:35:13+0000,"₹ 52,00,000"
