title, description, features, location, date_listed,price
shifting to other city   only  interested parson call me,udasar Fanta jaipur road 50 mtr ki doori par,4+ Bds - 4 Ba - 1800 ft2,"Tilak Nagar, Bikaner, Rajasthan, India",2022-06-13T15:17:55+0000,"₹ 50,00,000"
One RK Indipandet house,Minimam price of selling,,"Kalyan, Thane, Maharashtra, India",2022-06-28T14:49:03+0000,"₹ 9,50,000"
WATERFRONT APARTMENT FOR SALE,"DLF Riverside Vytilla has 5 towers, with 21 floors each and 176 units on offer. *Spread over an area of 5.12 acres",4 Bds - 3 Ba - 3554 ft2,"Kadavanthara, Kochi, Kerala, India",2022-07-08T07:11:24+0000,"₹ 2,35,00,000"
Makan Kalyanpur Lucknow ready to move,"Makan Kalyanpur Lucknow jagrani hospital near tempo stand full Model kitchen , wardrobe ,  Chimani,  full for ceiling 2 bedroom set Walking distance market 23 fit ka road hai  Loan LIC bank se HDFC bank se",2 Bds - 2 Ba - 1200 ft2,"Kalyanpuri, Lucknow, Uttar Pradesh, India",2022-07-24T15:53:25+0000,"₹ 65,00,000"
"4 bhk, 1700 sqft, House at Edapally Varapuzha","4 bedroom house 1700 sq ft 4.100 cent plot house for sale at Edapally, Varapuzha Nh 550 mtr distance  Church,temple,near Tar road front Door and window (thekku wood) corporation water allowed  Home loan available up to 90% 65 lakh Price is negotiable  Call me for more details 9️⃣8️⃣4️⃣7️⃣3️⃣8️⃣6️⃣4️⃣4️⃣3️⃣",4 Bds - 4 Ba - 1700 ft2,"Edapally, Kochi, Kerala, India",2022-07-24T15:52:39+0000,"₹ 65,00,000"
House for sale mamom,House for sale mamom,4+ Bds - 4+ Ba - 3070 ft2,"Mamam, Attingal, Kerala, India",2022-07-24T15:52:29+0000,"₹ 75,00,000"
Ramtirath Road...Amritsar,House for in New Urban Estate @ 55 lakhs...,3 Bds - 4 Ba - 2200 ft2,"J Paul Avenue, Amritsar, Punjab, India",2022-07-24T15:52:17+0000,"₹ 55,00,000"
Ok clear taital Full farnichar Areya,"70,00000/-",2 Bds - 2 Ba - 137 ft2,"Sola, Ahmedabad, Gujarat, India",2022-07-24T15:51:35+0000,"₹ 70,00,000"
Singh Property Dealer 2 BHK Flat Sale In Group Housing Society Lanka,Singh Property Dealer Lanka Varanasi   This Society Is Group Housing Apartment   Very Nice and Very Beautiful And Very Good Looking And Group Housing Society   2 BHK Flat For Sale in Apartment.  Lanka BHU Varanasi.  Flat Description Details   2 Bedroom 1 Modular Kitchen 1 Living Hall  1 Dining Space  2 Bathroom Western Commode 3 Balcony Available 1 Parking Area Available 1 Wooden King Size Bed Available  1 Wall Fix Wooden TV Cabinet Available 2 Wooden Wardrobes Available And Etc 1 Gymnasium Available.  1 Garden Available.  1 Child Swimming pool Available 1 Temple Available In Society   Child Play Area Available  Child Indoor Game Available  CC TV Camera Available.  Fountain Available.  24 hours Power Backup Available In Flat.  24 hours Water Available 24 hours Security Guard Available 24 hours Lift Facility Available.  24 hours Maintenance Staff Available Broker Charged 2 % Percent.  Other Information Plz Call Me.  Singh Property Dealer Lanka Varanasi.,2 Bds - 2 Ba - 1100 ft2,"Lanka, Varanasi, Uttar Pradesh, India",2022-07-24T15:51:05+0000,"₹ 70,00,000"
House for sale,Corner house.70gaj. 2 bed room.one bath one kichan.5minut run main road. Naraingarh.  Price 22L.,2 Bds - 1 Ba - 70 ft2,"Chheharta Part 2, Amritsar, Punjab, India",2022-07-24T15:50:36+0000,"₹ 22,00,000"
2 bhk flat,2 BHK LUXURY FLAT  READY TO MOVE ON ROAD PROJECT SECTOR 127 100 GAJ 28.90 LACS STARTING  RARE APPROVED  ELECTRICITY AVAILABLE AS WELL AS WATER SUPPLY  LOTS OF FACILITIES AVAILABLE THERE  MORE BENEFITS IN YOUR FUTURE  WALLPAPERS  CUPBOARD  MODULAR KITCHEN    RAR,2 Bds - 2 Ba - 900 ft2,"Airport Road, Mohali, Punjab, India",2022-07-24T15:50:20+0000,"₹ 28,90,000"
New flat NA NOC,"New FLAT 7 FLOOR WITH GARDEN 24 HOR WOTER AND Basement,Two left, Fire safety",2 Bds - 2 Ba - 1188 ft2,"Nava Naroda, Ahmedabad, Gujarat, India",2022-07-24T15:50:15+0000,"₹ 45,51,000"
2 year old 3 bed room gated house with well at Pattimattam,"3 bed room house with 2 attached bath room and daining room,2 kitchen, hall, compound wall with gate and well with all time water 500 meter from bus root",3 Bds - 2 Ba - 1070 ft2,"Pazhamthottam, Kunnathunad, Kerala, India",2022-07-24T15:50:03+0000,"₹ 36,00,000"
Ready to Move Property,"2BHK Flat, East Facing, Perfect Vastu, 1050 Sft,",2 Bds - 2 Ba - 1050 ft2,"Swarnapuri Colony II, Hyderabad, Telangana, India",2022-07-24T15:50:00+0000,"₹ 53,00,000"
Kakkanad Edachira Near infopark  New House 3 bhk ready to move,A brand New House Ready to move  Located at Kakkanad Edachira near infopark and smart City Very good residential area facing Tar Road frontage 700 meters from Edachira junction  3 cent land 1600 sqft 3 bhk  3 bedrooms attached plus one common bathroom in first floor  Well maid Hous all bedrooms attached one covered car parking ground floor having one bedroom attached first' floor having 2 bedrooms living  room dining hall  Pictures attached with this add  Both waters available borwell and water authority  this house clearly vastu perfect  Interested parties only contact,3 Bds - 4 Ba - 1700 ft2,"Kakkanad, Kochi, Kerala, India",2022-07-24T15:49:37+0000,"₹ 60,00,000"
"3 BHK Duplex ( Immediately available), Kailash Nagar North, Bhilai","New ( Ready to Move )– 3BHK Duplex Built Up Area ( Ground + First) 17535030 sq/feet)  Construction - RED brick Bank Loan Avilable – HDFC, Canara, LIC Housing  Address: House 16 Rajmahal Green Town Sunder Vihar Kurud Road Kailash Nagar North Bhilai - 490024 Landmark ( Nalanda High School Near Ekta Chowk KailashNagar North Bhilai )  Front Side - Private parking + tiled varanda ( 4 Wheeler + space for 2 wheeler parking ) Back Side - Free space of 270 sq ft Future construction can be done  ## Ground Floor ## Hall Bedroom Kitchen Bath/Toilet (Loft work done by owner in bed room)  ## First Floor ## 2 Bed Rooms 2 bath/toilet Dressing table Cubicle Sitting area outside two bedrooms (11 * 5 Feet) – Extra work done by owner Curved Terrace/Porch + One Balcony  ## Second Floor ## - Roof top Terrace + Water storage  Extra Information:  • 2x2 designer vitrified tiles Ground + First floor indoor (Work done by owner) • Total 5 new fans fitted (2 in hall) and 1 each in 3 bedrooms (Work done by owner) • All Doors and Windows have curtain rods (Work done by owner) • All bathrooms with utility fixtures – Towel Soap & toiletries Holder (Work done by owner) • All bathrooms with designer tiles fixed up-to roof top - (Work done by owner)  Owner - Mr Das ( 988 ***1000 ***432 )  Caretaker ( 808 ***596 *** 3297 )  and ( 988 ***1128 *** 285 )  Landmark ( Nalanda High School Ekta Chowk )  Address: House 16 Rajmahal Green Town - Sunder Vihar colony - Kurud Road Kailash Nagar North  Bhilai - 490024",3 Bds - 3 Ba - 1800 ft2,"Kurud, Bhilai, Chhattisgarh, India",2022-07-24T15:49:34+0000,"₹ 35,00,000"
"Hiranandani Palace Gardens, Hirco Palace Gardens, Chennai","92,80,765 to 87,11,800",3 Bds - 4 Ba - 2400 ft2,"Oragadam, Oragadam Industrial Area, Tamil Nadu, India",2022-07-24T15:49:30+0000,"₹ 92,00,000"
Job purpose,I am going to Kuwait,1 Bds - 1 Ba - 2 ft2,"Buddayapalli, Chennur, Andhra Pradesh, India",2022-07-24T15:49:08+0000,"₹ 24,00,000"
Nanjangud  khb colony Ooty road,Home for sale,2 Bds - 1 Ba - 2400 ft2,"Nanjangud Industrial Area, Nanjangud, Karnataka, India",2022-07-24T15:48:49+0000,"₹ 65,00,000"
Banaa Banaya Makan,Banaa Banaya Makan,4 Bds - 2 Ba - 1361 ft2,"Sarojini Nagar, Lucknow, Uttar Pradesh, India",2022-07-24T15:48:41+0000,"₹ 40,00,000"
New Flats for sale 1 & 2 Bhk,"*Gorgeous flat with very good amenities in a wonderful neighborhood. Close to schools and temples.  And close pammal Sub-Registration office.  *Gleaming tiles flooring in living areas, Anti skid flooring in bathroom and carparking areas.  *flats has separate safety gates.  Secured and peaceful place for living. *Main doors with teakwood ornamental panelled.  Bedroom doors are framed hardcore flush shutters.  *All internal walls brilla wall putty and have two coats Asian panits.  Outer walls are Emulsion paints.  Rcc framed structure built-in ARS steels..",1 Bds - 1 Ba - 493 ft2,"Anakaputhur Thendral Nagar, Chennai, Tamil Nadu, India",2022-04-03T05:12:42+0000,"₹ 26,00,000"
2 BHK AT ARTILERY CENTER ROAD,"A housing project designed to match your dreams and practical day to day needs. Project is taking shape at artillery centre road, equipped with best amenities, well connected with busy nodes of city & strategically located considering your ease of access. In close vicinity to Railway Station, Bus Stop, School, College, Hospitals & Recreational Centre.",2 Bds - 2 Ba - 1140 ft2,"Artillery Center Road, Nashik, Maharashtra, India",2022-06-25T11:40:09+0000,"₹ 44,15,811"
2BHK VILLA SALE In Thiruporur,2bhk villa Clear title Approved plots and villa Tar road Eb Separate compound wall and grill gate.,2 Bds - 3 Ba - 805 ft2,"OMR, Chennai, Tamil Nadu, India",2022-07-17T11:01:27+0000,"₹ 37,00,000"
4 Cent's (അടിപൊളി വീട്) 46 lakhs 1300 sqft 3 bhk,4 cent's land 1300 sqft 3 bhk brand new independent house for sale with car parking Rs/- 46 lakhs slightly negotiable near by just wanna couple distance from Mulamthuruthiy perumbahalli main road  മുളന്തുരുത്തി പെരുമ്പള്ളി മെയിൻ റോഡിൽ നിന്ന് നടക്കാവുന്ന ദൂരത്തിൽ പുതിയതായി നിർമ്മാണം കഴിഞ്ഞ വീട് വിൽപ്പനക്ക്  4 സെൻറ് സ്ഥലത്ത് 1300 സ്ക്വയർ ഫീറ്റിൽ മൂന്ന് കിടപ്പും മുറികളും അറ്റാച്ച്ഡ് ബാത്റൂമുകളും ഉള്ള പുതിയ വീട് വില്പനയ്ക്ക് Rs/- 46 lakhs Slightly negotiable  വിശാലമായി ഒരു കാർ പാർക്ക് ചെയ്യാനുള്ള സൗകര്യം ഉണ്ട് ശുദ്ധജലത്തിനായി കിണർ വെള്ളമാണ് ഉപയോഗിക്കുന്നത് ഈ മനോഹരമായ വീട് സ്വന്തമാക്കുവാൻ ആഗ്രഹിക്കുന്നവർ ബന്ധപ്പെടുക  Consultancy fees is @  1% of total sale agreement value. If you are interested please contact for more details Nice Place Properties Vyittla Ernakulam. 9️⃣0️⃣6️⃣1️⃣8️⃣8️⃣8️⃣8️⃣7️⃣4️⃣ Broker excuse,3 Bds - 3 Ba - 1300 ft2,"Mulanthuruthy, Kochi, Kerala, India",2022-07-24T15:22:22+0000,"₹ 46,00,000"
2 floor completed house,"Anita Niwas is situated at Amra Kahira Chak, Near Kandawa, CHITAIPUR CHAURAHA, DLW, VARANASI interested buyer can contact",4+ Bds - 2 Ba - 800 ft2,"Chitaipur, Varanasi, Uttar Pradesh, India",2022-07-24T15:21:31+0000,"₹ 30,00,000"
Selling property,Want to sell property,2 Bds - 1 Ba - 975 ft2,"Bijoli, Bijauli Industrial Area, Uttar Pradesh, India",2022-07-24T15:21:27+0000,"₹ 30,00,000"
"4 bhk, Sqft 1700, House at Edapally Varapuzha, thirumuppam kaitharam","4 bedroom house 1700 sq ft 4.300 cent plot New build house for sale at Edapally, Varapuzha,kaithaaram Bus root 30 mtr distance  Church,temple,near Home loan available up to 90% 70 lakh Price is negotiable  Call me for more details 9️⃣8️⃣4️⃣7️⃣3️⃣8️⃣6️⃣4️⃣4️⃣3️⃣",4 Bds - 4 Ba - 1700 ft2,"Edapally, Kochi, Kerala, India",2022-07-24T15:21:14+0000,"₹ 70,00,000"
House for sale near parottukonam,URGENT SALE  4cent with 850 sqft house 1km away from Nalachira 700m away from kesavadasapuram junction. Expected price 65lakhs. Price negotiable,2 Bds - 2 Ba - 850 ft2,"Kesavadasapuram, Thiruvananthapuram, Kerala, India",2022-07-24T15:20:07+0000,"₹ 65,00,000"
Urgent sale,Good loction,4 Bds - 2 Ba - 1050 ft2,"Kursi Road, Lucknow, Uttar Pradesh, India",2022-07-24T15:19:48+0000,"₹ 60,00,000"
1 BHK HOUSE,Individual House in TNHB ready to move in,1 Bds - 2 Ba - 480 ft2,"Edayanchavadi, Chennai, Tamil Nadu, India",2022-07-24T15:18:57+0000,"₹ 22,00,000"
Edakochi south near St.Lawrence  church  Sajeev road .  200 mtr for NH,Financial  purposes,3 Bds - 2 Ba - 650 ft2,"Edakochi, Kochi, Kerala, India",2022-07-24T15:18:37+0000,"₹ 22,00,000"
Hello mam/sir this is best opportunity to buy(borewell also available),Home at low price in today time hurry up only one house is remaining it is located at athani road near allamin Vijayapur Karnataka,2 Bds - 2 Ba - 1000 ft2,"Chennama Rani Chowk, Vijayapura, Karnataka, India",2022-07-24T15:18:36+0000,"₹ 28,75,000"
2 BHK FOR SALE AT KALLAKURICHI WITH STILT CAR ARKING,"2BHK CORNER FLAT AT KALLAKURICHI WITH AMPLE SUNLIGHT,PERFECT CONDITION,2 BEDROOM,2 BATHROOMS,1 STILT CAR PARKING 2 BIKE PARKING WITH LIFT AND IN THE CENTRE OF KALLAKURICHI",2 Bds - 2 Ba - 800 ft2,"Kallakuruchi, Kallakkurichi, Tamil Nadu, India",2022-07-24T15:18:07+0000,"₹ 26,00,000"
DUPLEX VILLA SIZE :- 62 ( 14*40) Rs :- 22K,"Duplex Villa Ready To Move. AC Fitting And water Motor, All Accessories Fitting Complete. All Sale And Now this Last One Pending",4 Bds - 2 Ba - 62 ft2,"Khatipura, Jaipur, Rajasthan, India",2022-07-24T15:17:50+0000,"₹ 22,00,000"
New house in erumely.,700m away from erumely town. 2700 square feet house.5 bedroom with 3 attached bathroom and 1 common bathroom. 13 cent plot. Open well -Perennial water. Water and electrical connection.,4+ Bds - 4 Ba - 2700 ft2,"Erumely, Kottayam, Kerala, India",2022-07-24T15:17:24+0000,"₹ 90,00,000"
Levish luxurious house at prime location,A high class house in a very cream location,3 Bds - 3 Ba - 1820 ft2,"Indira Nagar, Lucknow, Uttar Pradesh, India",2022-07-24T15:17:17+0000,"₹ 92,00,000"
2 BHK Flat Modular kitchen Loan and Govt Subsidy,1. 2 Bedrooms  2. 1 Drawing Hall  3. 1 Wardrobe  4. 2 Bathrooms  5. 1 Balcony  6. 1 Modular kitchen with Chimney  7. 1 Car Parking  8. Lift Facility  9. Loan facility  10. Intercom and automatic locking  11. Loan up to 90%  12. Subsidy up to As Applicable,2 Bds - 1 Ba - 500 ft2,"Uttam Nagar, Delhi, Delhi, India",2022-07-24T15:16:33+0000,"₹ 23,00,000"
घर बिक्री के लिए,"SRS मॉल मात्र 100 मीटर , डाकखाना मात्र 100 मीटर , नगर निगम मात्र 150 मीटर की दूरी  चारों ओर बाजार   नीचे दुकान ऊपर रिहाइश",3 Bds - 3 Ba - 350 ft2,"Maheshpura, Kashipur, Uttaranchal, India",2022-07-24T15:16:28+0000,"₹ 40,00,000"
1 BHK Flat with bike parking and Government Subsidy,1 Bedroom  1 Wardrobe  1 Bike Parking  1 Bathroom  1 Drawing Hall  Loan up to 90%  Government Subsidy as applicable  Groundwater  Electricity connection,1 Bds - 1 Ba - 400 ft2,"Uttam Nagar, Delhi, Delhi, India",2022-07-24T15:16:15+0000,"₹ 15,00,000"
2bhk flat available prime location in uttam nagar with car parking,2 bed rooms and one hall ith false ceiling work and contomize wall papers. One modular kitchen with chimney.  Two washrooms with tile work upto roof height.  PMAY facility also available (conditional).  Seprate Water and electricity meters also available.  This property available in prime location in uttam nagar.,2 Bds - 2 Ba - 500 ft2,"Uttam Nagar, Delhi, Delhi, India",2022-07-24T15:16:10+0000,"₹ 25,50,000"
"3 BHK & 4 BHK  HIGHIER LIVING IN PAL , ADAJAN","》GROUND FLOOR PLAN  LEGEND  01) Entry/Exit  02) Entrance Foyer  03) Electric Meter Space  04) Conference Hall  05) Multipurpose Hall  06) Toy Parking Area  07) Party Lawn  08) Seating Area  09) Ramp DN To Basement  10) Parking  》FIRST FLOOR PLAN  LEGEND  01) Society Office  02) Gym  03) Children Play Area  04) Game Zone)  05) Yoga  06) Jogging Track  07) Sitting Area  08) Green Space  09) Gazebo  10) Water Body With Cascade  CAMPUS FACILITY  》 Site development with landscaping  LANDSCAPING  SECURITY  》 High security with access control of members  INTERCOM FACILITY  FIRE SAFETY   》 Security system with CCTV in campus and intercom facility  Fire hydrant facility as per NORMS  ELEVATORS  • Standard size elevators of Kone / Schindler/equivalent make  ANTI-TERMITE TREATMENT  Anti-termite treatment in the campus  • Earthquake resistant Structural Design for RCC frame structure with isolated footings and  in fill masonry walls  》 UNITS SPECIFICATION  Italian flooring in living room, dining & kitchen,  • One master bed room with wooden floor  》32"" x 32"" high quality vitrified tile flooring in other bedrooms  LIVING SPACES  • Granite/Quartz stone kitchen platform with a S.S. Sink  KITCHEN  • Ceramic tiles dado  RO Water purifier of standard make  》 Gujarat gas piped connection  STORE  •Adequate stone shelves  WASH AREA  》 Kota stone flooring with adequate electrical plumbing and drainage points  》Vitrified/Ceramic tiles up to lintel level  TOILET  》Jaquar/Kohler/Grohe equivalent CP fitting with canceled plumbing • Common toilet designed with vitrified/ceramic tiles  • Sanitary ware of Jaquar/Cera/equivalent make  • Centralized geyser connection with geyser fitting in wash area  》Mala plaster finish with good quality of putty finish  INTERIOR  • Designer main door with veneer and teakwood frame  DOOR-WINDOW  • Sufficient points in concealed copper wiring  Designer laminated internal Doors  All doors fitted with standard locks  • Fully glazed aluminum windows  ELECTRICAL  • Modular switches  》3 phase power supply to each flats  PLUMBING & DRAINAGE  • Standard quality CPVC/PVC pipe of Astral/Supreme/equivalent make  WATERPROOFING  All toilet and terraces are well water proofed  FAÇADE TREATMENT  • Double coat plaster with weather shield paint & texture  ELECTRICAL & POWER BACK-UP  • Standard quality generator of sufficient capacity of power back up for elevators, water  pumps and general lighting of common areas",3 Bds - 3 Ba - 2035 ft2,"Pal, Surat, Gujarat, India",2022-06-11T11:13:03+0000,"₹ 1,25,37,635"
Affordable 1bhk on prime location near 200 ft road,"1 BHK BUILDER FLOOR  SIZE : 62 SQ.YD LOCATION : 123 SECTOR ON 200 FT. FEATURES AND AMENITIES :- Fully Equipped Modular Kitchen. Modular Wardrobes in Bedroom  Washrooms with branded Fittings (Jaguar)  Covered Wiring for DTH, Telephone.  Spacious balconies with Anti Skid Tiles.  Split AC Provision in Flats.  Branded Doors.  Secured Gated society with hi-tech secur  Underground wire & cabling.  With Spacious drawing cum dining",1 Bds - 1 Ba - 550 ft2,"Sector 124, Mohali, Punjab, India",2022-07-01T09:56:52+0000,"₹ 19,90,000"
Nr LDA Mansarovar Yojana Sector O Shaheed Path,"Ready To Move 3 BHK House Near LDA Mansarovar Yojana Sector O Shaheed Path  Amenities: Road, Light, Gated Colony, Drainage ETC  Landmarks: 400 Meter From Shaheed Path, Next To LDA Colony, 500 Meter From Shivani School, 3 Km From LDA Parag  Bank Loan Available",3 Bds - 3 Ba - 1400 ft2,"LDA Sector, Lucknow, Uttar Pradesh, India",2022-07-16T11:19:28+0000,"₹ 55,00,000"
BUDJET HOUSE FOR TCHNOCITY NEAR  4CENT 1200SQFT 3BHK HOUSE FOR SALE,4cent 1200sqft 3bhk Openwell Main road distance 400mtr,3 Bds - 3 Ba - 1200 ft2,"Kaniyapuram, Thiruvananthapuram, Kerala, India",2022-07-24T15:16:09+0000,"₹ 43,00,000"
Pukkattupady 5.100cent 2100sqft,New beautiful house for sale at pukkattupady 5.100cent 2100sqft 4bedroom with attached bathroom Good well water Cupboard work facilities  Easy acess to bus stop 200mt Raja giri hospital 4.4km Aluva railway station 8.1km Info park 8.3km Kalamassery medical college 7.6km Lulu mall 13km  Price 75lakh Price negotiable Loan facilities available For more details call me 9️⃣9️⃣4️⃣6️⃣3️⃣2️⃣2️⃣1️⃣6️⃣7️⃣,4 Bds - 4 Ba - 2100 ft2,"Kakkanad, Kochi, Kerala, India",2022-07-24T15:16:09+0000,"₹ 75,00,000"
Aluva pukkattupady 3.5cent 1450sqft,New beautiful house for sale at pukkattupady 3.5cent 1450sqft 3bedroom with attached bathroom Cupboard work facilities Good well water   Easy access to Bus stop 300mt Raja giri hospital 4.4km Kalamassery 6.8km Lulu mall 14km Aluva railway station8.2km Infopark 9.0km Kalamassery medical college 7.6km  Price 57lakh Price negotiable Loan facilities available Home loan and NRI LOANS AVAILABLE FOR MORE DETAILS CALL ME,3 Bds - 3 Ba - 1450 ft2,"Ernakulam, Kochi, Kerala, India",2022-07-24T15:16:09+0000,"₹ 57,00,000"
Aluva kalady thettali bus stop 4.5cent 1800sqft,New beautiful house for sale at thettali 4.5cent 1800sqft 4bedroom with attached bathroom Cupboard work facilities Good well water  Esay access to bus stop 200t Cohin international airport 4.5km Aluva railway station 6.4km Kalady 9.8km  Price 65lakh Price negotiable Loan facilities available For more details call me,4 Bds - 4 Ba - 1800 ft2,"Bank Junction, Aluva, Kerala, India",2022-07-24T15:16:09+0000,"₹ 65,00,000"
MANNANTHALA MUKKOLA  4BHK 1850 SQFT 4.500 CENT INDEPENDENT HOUSE,4BHK 1850 SQFT AREA 4.500 CENT LAND AREA  2 CAR PARKING SPACE AVAILABLE 4 BEDROOMS 4 BATHROOMS 4 BEDROOMS ATTACHED BATHROOMS SITOUT LIVING AREA AND DINING AREA KITCHEN VERY NICE BEAUTIFUL BALCONY 2 CAR PARKING SPACE AVAILABLE VERY COSTLY VITRIFIED TILE FLOORING 24 HOURS ELECTRICITY AND CORPORATION WATER KWA CONNECTION FACILITY AVAILABLE VERY CLEAN AND SILENT BEAUTIFUL VVIP RESIDENTIAL AREA VERY NEAR TO MAJOR SCHOOL AND COLLEGE HOSPITAL BANK SUPER MARKET ATM ETC FULLY COUMPOUND WALL AND INDEPENDENT GATED PROPERTY BEAUTIFUL HOUSE LORRY ACCESS PLOT TAR ROAD FRONTAGE ORIGINAL DRY LAND KARA BHOOMI  AMOUNT. 8000000 LAKHS PRICE. 80 LAKHS BROKERS PLEASE EXCUSE GENUINE BUYERS ONLY PLEASE CALL ME BROKERS PLEASE EXCUSE,4 Bds - 4 Ba - 1900 ft2,"Nalanchira, Thiruvananthapuram, Kerala, India",2022-07-24T15:16:09+0000,"₹ 80,00,000"
4BHK POSH LUXURY PREMIUM INDEPENDENT VILLAS HOUSE PEROORKADA,4BHK POSH LUXURY PREMIUM INDEPENDENT VILLAS HOUSE AVAILABLE AT PEROORKADA  GENUINE BUYERS ONLY PLEASE CALL ME BROKERS PLEASE EXCUSE  FULLY RED BREAK USED CONSTRUCTION WORK  PRICE   4BHK 6.640 CENTS LAND AREA 3100 SQFT AREA 4 CAR PARKING SPACE AVAILABLE AMOUNT. 19000000. CRORE PRICE. 1.90. CRORE PRICE NEGOTIABLE  VERY SPACIOUS BEDROOM VERY SPACIOUS BATHROOMS ALL BEDROOMS ATTACHED BATHROOMS VERY SPACIOUS SITOUT VERY SPACIOUS LIVING AREA AND DINING AREA VERY SPACIOUS BEAUTIFUL MODERN MODULAR KITCHEN AND WORK AREA SPACE AVAILABLE VERY SPACIOUS BEAUTIFUL BALCONY VERY SPACIOUS 4 CAR PARKING SPACE AVAILABLE VERY SPACIOUS BEAUTIFUL KITCHEN CUPBOARD AND BEDROOMS CUPBOARD VERY COSTLY RAK VITRIFIED TILE FLOORING VERY COSTLY PLUMBING WORKS AND SANITARY FITTINGS JAGUAR AND RAK FITTINGS VERY COSTLY 3 FACE ELECTRIC WIRING AND 3 FACE ELECTRICITY CONNECTION FACILITY AVAILABLE 24 HOURS ELECTRICITY AND CORPORATION WATER CONNECTION FACILITY AVAILABLE VERY BEAUTIFUL GARDEN LORRY ACCESS PLOT TAR ROAD FRONTAGE ORIGINAL DRY LAND KRA BHOOMI VERY CLEAN AND SILENT BEAUTIFUL VVIP RESIDENTIAL AREA FULLY COMPOUND WALL AND INDEPENDENT GATED PROPERTY VILLAS HOUSE VERY NEAR TO MAJOR SCHOOL AND COLLEGE HOSPITAL BANK SUPERMARKET ATM ETC  TOTAL 9 INDEPENDENT VILLAS HOUSE PROJECTS ONLY 1 4BHK  INDEPENDENT VILLAS HOUSE AVAILABLE 4BHK INDEPENDENT VILLAS HOUSE AVAILABLE AMOUNT.19000000. CRORE PRICE. 1.90 . CRORE PRICE NEGOTIABLE  GENUINE BUYERS ONLY PLEASE CALL ME BROKERS PLEASE EXCUSE,4 Bds - 4 Ba - 3100 ft2,"Kowdiar, Thiruvananthapuram, Kerala, India",2022-07-24T15:16:09+0000,"₹ 1,80,00,000"
MainRoad+100MitrThirumalaThachottukavu,4.500cent1800sq4bhk,4 Bds - 4 Ba - 1800 ft2,"Thirumala, Thiruvananthapuram, Kerala, India",2022-07-24T15:16:08+0000,"₹ 67,00,000"
2bhk flat in uttam nagar west,2 BHK flat 2 bedroom 2 washroom to balcony one moulder kitchen left and car parking wooden work 90% home loan Metro Se Mat 800 meter ki Duri,2 Bds - 2 Ba - 500 ft2,"Om Vihar, Delhi, Delhi, India",2022-07-24T15:16:08+0000,"₹ 17,69,864"
Agr top floor chahiye to abhi call milaye,"(1) 2 spacious bedroom with wardrobe ,classic false ceiling. (2) spacious balcony attached bedrooms. (3) Fully modular kitchen with chimney with designing mica. (4) 2 bathroom proper wall to wall tiles with sentry fittings. (5) Guaranteed LED lights,in every rooms. (6) Heavy quality Doors with both side designing mica. (7) Texture paints or wallpaper on single wall in every rooms. (8) Separate electric and water connections for all flats (9) separate 1000ltr water tank on roof for all floors 24 hours ground water. (10)cover car parking. (11) intercom door lock facility. (12) 90% Home loan facility nationalized bank(LIC,GIC,HERO FINCORP, IDFC, IIFL,BAJAJ,ICICI BANK",2 Bds - 2 Ba - 550 ft2,"Uttam Nagar, Delhi, Delhi, India",2022-07-24T15:16:07+0000,"₹ 25,75,10,000"
"2 bhk flat, Ready to Move",Ready to move  2 bhk semifinished flat for sell Instant Registry  90% Loan all govt bank,2 Bds - 2 Ba - 900 ft2,"Sector 70A, Gurgaon, Haryana, India",2022-07-24T15:16:07+0000,"₹ 36,00,000"
"Varapuzha, koonammavu, kongorpilly,2 bed ,30 lakhs nego","3.5 cent,2 bed ,750sqft  More details please call",2 Bds - 2 Ba - 750 ft2,"Koonammavu, Kottuvally, Kerala, India",2022-07-24T15:16:07+0000,"₹ 30,00,000"
There is no place like home for real comfort,All the luxurious amenities are available 24/7 security Grand entrance pavilion Swimming pools Ac gym Yoga center Badminton court Children's park area Guest rooms Banquet halls Jogging tracks Cricket nets Super Market Meditation centre  Card rooms Fire safety CCTV surveillance Intercom security Vastu complaint Cards room Kids zone Parks Jogging tracks  And many more,2 Bds - 2 Ba - 1202 ft2,"Turkayamjal, Hyderabad, Telangana, India",2022-07-24T15:16:06+0000,"₹ 33,65,000"
3bhk semi furnished flat with lift car parking top floor 90% loan fac.,"3 BHK flat at 40 Lacs on 20 Ft Road at uttam  Nagar, Delhi with car Parking 3 BHK Flat  3 Bedrooms 2 Bathrooms 1 Balcony 1 Drawing Hall 1 Modular kitchen 1 Car parking Loan facility Intercom and automatic locking system Bank loan upto 90% PMAY Subsidy upto 3.5 lacs conditional Just 5 minutes from uttam nagar West metro station or just 800 to 900m Other Flats are also available in Uttam Nagar 1RK – 6 Lacs to 8 Lacs 1BHK- 12 Lacs to 18 Lacs 2BHK- 17 Lacs to 25 Lacs 3BHK- 28 Lacs to 40 Lacs 4BHK- 44 Lacs to 60 Lacs",3 Bds - 2 Ba - 800 ft2,"Uttam Nagar, Delhi, Delhi, India",2022-07-24T15:16:06+0000,"₹ 40,00,000"
